"id","code","name","parent_account_type_id","sub_parent_id","active","business_id","created_at","updated_at"
"1","1","Assets",NULL,NULL,NULL,"1","2022-12-28 07:00:00","2024-08-22 13:30:32"
"2","12","Current Asset","1",NULL,NULL,"1","2022-12-28 07:00:00","2024-08-22 13:31:15"
"3","13","Cash holding","1",NULL,NULL,"1","2022-12-28 07:00:00","2024-08-22 13:34:33"
"4","124","Stock","2",NULL,"1","1","2022-12-28 07:00:00","2024-08-25 14:53:07"
"5","121","Customers","2",NULL,NULL,"1","2022-12-28 07:00:00","2024-08-22 13:31:59"
"6","125","PREPAID EXPENSES","2",NULL,"1","1","2022-12-28 07:00:00","2024-11-03 12:48:22"
"7","122","Other debitors","2",NULL,NULL,"1","2022-12-28 07:00:00","2024-08-22 13:32:32"
"8","123","Partners drawings","2",NULL,"1","1","2022-12-28 07:00:00","2024-08-25 14:55:54"
"10","131","Cash In Hand","3",NULL,NULL,"1","2022-12-28 07:00:00","2024-08-22 13:34:59"
"11","121000","Vehicles","10",NULL,NULL,"1","2022-12-28 07:00:00","2022-12-28 07:00:00"
"12","122000","Furniture And Fixtures","10",NULL,NULL,"1","2022-12-28 07:00:00","2022-12-28 07:00:00"
"13","123000","Office Equipment","10",NULL,NULL,"1","2022-12-28 07:00:00","2022-12-28 07:00:00"
"14","124000","Tools","10",NULL,NULL,"1","2022-12-28 07:00:00","2022-12-28 07:00:00"
"15","125000","Factory Building","10",NULL,NULL,"1","2022-12-28 07:00:00","2022-12-28 07:00:00"
"16","2","Liabilities",NULL,NULL,"1","1","2022-12-28 07:00:00","2024-08-22 13:37:11"
"17","221","Suppliers","23",NULL,NULL,"1","2022-12-28 07:00:00","2024-08-22 13:44:57"
"18","223","Other creditors","17",NULL,"1","1","2022-12-28 07:00:00","2024-08-25 16:06:03"
"19","223","Employees' receivables","23",NULL,"1","1","2022-12-28 07:00:00","2024-09-23 16:30:35"
"20","23","Tax Vat","16",NULL,"1","1","2022-12-28 07:00:00","2024-08-25 16:08:22"
"21","21","Fixed liabilities","16",NULL,NULL,"1","2022-12-28 07:00:00","2024-08-22 13:37:54"
"22","211","Capital","21",NULL,"1","1","2022-12-28 07:00:00","2024-08-25 14:59:56"
"23","22","Current liabilities","16",NULL,NULL,"1","2022-12-28 07:00:00","2024-08-22 13:41:05"
"24","222","Other creditors","23",NULL,NULL,"1","2022-12-28 07:00:00","2024-08-22 13:45:52"
"25","3","Net purchases",NULL,NULL,"1","1","2022-12-28 07:00:00","2024-08-22 13:47:52"
"26","810000","Income","48",NULL,NULL,"1","2022-12-28 07:00:00","2024-01-04 20:12:30"
"27","4","Net sales",NULL,NULL,"1","1","2022-12-28 07:00:00","2024-08-22 13:48:15"
"28","5","Expenses",NULL,NULL,"1","1","2022-12-28 07:00:00","2024-08-22 13:48:55"
"33","51","The Expenses","28",NULL,"1","1","2022-12-28 07:00:00","2024-10-13 17:12:28"
"34","01","Profit and loss","47","9",NULL,"1","2022-12-28 07:00:00","2024-08-22 13:51:22"
"36","6","Revenues",NULL,NULL,"1","1","2022-12-28 07:00:00","2024-09-07 14:14:46"
"37","7","Goods",NULL,NULL,"1","1","2022-12-28 07:00:00","2024-08-22 13:50:48"
"38","300000","Sales",NULL,NULL,NULL,"1","2022-12-28 07:00:00","2024-01-25 12:35:54"
"39","310000","Sales Account","38",NULL,"1","1","2022-12-28 07:00:00","2024-08-15 10:59:58"
"42","400000","Purchases",NULL,NULL,NULL,"1","2022-12-28 07:00:00","2024-07-29 12:12:17"
"43","410000","Purchases Account","42",NULL,"1","1","2022-12-28 07:00:00","2024-08-15 10:59:16"
"46",NULL,"both",NULL,NULL,"1","1","2022-12-31 22:38:27","2023-01-03 23:07:12"
"47","72","Goods Sub","37",NULL,NULL,"1","2023-12-18 14:27:08","2024-08-25 14:43:12"
"48","71","Profit and loss","37",NULL,NULL,"1","2023-12-20 18:29:25","2024-08-25 14:42:41"
"49","900000","Balance Sheet",NULL,NULL,NULL,"1","2024-01-04 20:09:44","2024-01-04 20:10:43"
"50","910000","Balance Sheet Budget","49",NULL,"1","1","2024-01-04 20:10:43","2024-01-04 20:20:25"
"54","11","Fixed Asset","1",NULL,"1","1","2024-08-22 13:30:32","2024-08-25 18:56:39"
"55","132","Bank","3",NULL,NULL,"1","2024-08-22 13:35:53","2024-08-22 13:35:53"
"56","133","card","3",NULL,NULL,"1","2024-08-22 13:36:12","2024-08-22 13:36:12"
"57","210","Accounts Payables","23",NULL,NULL,"1","2024-08-25 18:39:19","2024-09-07 14:16:13"
"58","127","Sec.Deposit","2",NULL,NULL,"1","2024-08-29 18:50:46","2024-09-07 14:03:40"
"59","112","Accounts Receivables","2",NULL,NULL,"1","2024-08-31 14:03:21","2024-09-07 14:16:26"
